pair,dir,pnl,result,exit_type,confluence
EURJPY,SELL,3.831086364003684,WIN,SL,85.0
EURJPY,SELL,-100.03831086364004,LOSS,SL,75.0
EURJPY,SELL,-99.03792775500364,LOSS,SL,60.0
EURCHF,SELL,-100.0,LOSS,SL,55.0
EURAUD,BUY,180.00000000000142,WIN,TP,85.0
GBPJPY,BUY,-100.0,LOSS,SL,85.0
GBPJPY,SELL,-99.0,LOSS,SL,75.0
GBPJPY,BUY,-98.01,LOSS,SL,65.0
GBPCHF,SELL,3.9207707298911316,WIN,SL,60.0
GBPAUD,SELL,1.3827137051006955,WIN,SL,75.0
AUDJPY,SELL,-100.0,LOSS,SL,65.0
AUDJPY,SELL,-99.0,LOSS,SL,85.0
AUDJPY,SELL,-98.00999999999999,LOSS,SL,90.0
AUDJPY,SELL,-97.0299,LOSS,SL,100.0
AUDJPY,BUY,2.7505652068012734,WIN,SL,85.0
AUDJPY,SELL,-96.08710665206802,LOSS,SL,70.0
AUDJPY,BUY,5.042763545712124,WIN,SL,90.0
AUDJPY,BUY,-95.17666322100446,LOSS,SL,55.0
AUDJPY,BUY,-94.22489658879442,LOSS,SL,55.0
AUDJPY,BUY,-93.28264762290648,LOSS,SL,75.0
AUDJPY,BUY,203.16960652269196,WIN,TP,70.0
CADJPY,BUY,-100.0,LOSS,SL,60.0
CADJPY,SELL,-99.0,LOSS,SL,55.0
CADJPY,SELL,6.2714697864328715,WIN,SL,85.0
CADJPY,SELL,5.60002477110447,WIN,SL,80.0
CADJPY,SELL,70.71306225602328,WIN,SL,65.0
CADJPY,SELL,-98.83584556813558,LOSS,SL,55.0
CADJPY,SELL,9.936230899622155,WIN,SL,75.0
CADJPY,SELL,100.80694380643884,WIN,SL,60.0
NZDJPY,SELL,-100.0,LOSS,SL,85.0
NZDJPY,BUY,3.8165379016594096,WIN,SL,85.0
NZDJPY,BUY,8.685431007843167,WIN,SL,85.0
NZDJPY,BUY,84.01974536463723,WIN,SL,50.0
NZDJPY,SELL,-99.96521714274142,LOSS,SL,60.0
NZDJPY,BUY,6.993352307285677,WIN,SL,55.0
