id,pair,direction,entry_price,exit_price,stop_loss,take_profit,position_size,entry_time,exit_time,status,pnl,pnl_pips,strategy,timeframe,confidence,mfe,mae
1,EURUSD,SELL,1.15761,1.1563778571428573,1.1585092857142856,1.1563778571428573,1.25,2025-11-26 19:00:00,2025-11-27 00:30:00,CLOSED_TP,154.01785714283523,12.321428571426818,EMA_RSI_Scalping,M15,70,7.300000000001194,-3.4000000000000696
2,USDJPY,BUY,156.50703,156.4011425,156.4011425,156.6568425,1.06,2025-11-27 06:15:00,2025-11-27 10:00:00,CLOSED_SL,-112.24074999999402,-10.588749999999436,EMA_RSI_Scalping,M15,70,0.0,-15.972999999999615
3,USDJPY,BUY,156.20898,156.40406035714287,156.0759317857143,156.40406035714287,0.82,2025-11-27 18:00:00,2025-11-28 11:45:00,CLOSED_TP,159.965892857154,19.508035714287075,EMA_RSI_Scalping,M15,70,24.637000000001308,-5.418000000000234
5,EURUSD,SELL,1.15914,1.1584060714285715,1.159740357142857,1.1584060714285715,2.04,2025-11-28 12:15:00,2025-11-28 12:45:00,CLOSED_TP,149.72142857141614,7.339285714285104,EMA_RSI_Scalping,M15,70,9.40000000000163,0.0
4,GBPUSD,SELL,1.32348,1.3219478571428571,1.3245592857142856,1.3219478571428571,1.03,2025-11-28 04:45:00,2025-11-28 17:45:00,CLOSED_TP,157.8107142857157,15.321428571428708,EMA_RSI_Scalping,M15,70,16.899999999999693,-9.500000000000064
6,USDJPY,SELL,156.27337,156.03840571428572,156.43034857142857,156.03840571428572,0.7,2025-11-28 13:45:00,2025-11-29 00:45:00,CLOSED_TP,164.47499999999877,23.496428571428396,EMA_RSI_Scalping,M15,70,24.575999999999,-12.279000000000906
7,GBPUSD,BUY,1.32186,1.3233046428571429,1.3208332142857144,1.3233046428571429,1.13,2025-11-29 00:15:00,2025-11-29 02:45:00,CLOSED_TP,163.24464285714237,14.446428571428527,EMA_RSI_Scalping,M15,70,30.69999999999906,-4.8000000000003595
8,USDJPY,BUY,156.29550999999998,156.14146499999998,156.14146499999998,156.52558499999998,0.74,2025-11-29 02:00:00,2025-11-29 02:45:00,CLOSED_SL,-113.99329999999736,-15.404499999999643,EMA_RSI_Scalping,M15,70,0.0,-27.184999999997217
9,GBPUSD,SELL,1.3233300000000001,1.3241885714285715,1.3241885714285715,1.3221657142857144,1.41,2025-12-01 09:15:00,2025-12-01 10:00:00,CLOSED_SL,-121.05857142856391,-8.585714285713753,EMA_RSI_Scalping,M15,70,2.20000000000109,-10.899999999998133
10,GBPUSD,BUY,1.32389,1.3228289285714285,1.3228289285714285,1.3253917857142856,1.1,2025-12-01 10:15:00,2025-12-01 13:15:00,CLOSED_SL,-116.71785714286288,-10.610714285714806,EMA_RSI_Scalping,M15,70,6.599999999998829,-9.399999999999409
11,GBPUSD,SELL,1.32285,1.3211232142857143,1.3240460714285716,1.3211232142857143,0.96,2025-12-01 13:15:00,2025-12-01 17:45:00,CLOSED_TP,165.771428571432,17.2678571428575,EMA_RSI_Scalping,M15,70,14.800000000001479,-2.6999999999999247
12,EURUSD,SELL,1.15958,1.1604750000000001,1.1604750000000001,1.158355,1.32,2025-12-01 13:30:00,2025-12-01 18:15:00,CLOSED_SL,-118.1400000000119,-8.950000000000902,EMA_RSI_Scalping,M15,70,3.900000000001125,-13.399999999998968
13,GBPUSD,BUY,1.32323,1.3255549999999998,1.321675,1.3255549999999998,0.72,2025-12-01 20:45:00,2025-12-01 23:30:00,CLOSED_TP,167.39999999999355,23.249999999999105,EMA_RSI_Scalping,M15,70,22.000000000002018,-10.599999999998388
14,EURUSD,SELL,1.16217,1.1605110714285714,1.163325357142857,1.1605110714285714,1.01,2025-12-02 03:15:00,2025-12-02 12:15:00,CLOSED_TP,167.5517857142861,16.58928571428575,EMA_RSI_Scalping,M15,70,16.300000000000203,-6.099999999999994
15,EURUSD,BUY,1.16122,1.1607535714285713,1.1607535714285713,1.1617307142857143,2.97,2025-12-02 13:45:00,2025-12-02 16:15:00,CLOSED_SL,-138.5292857143077,-4.6642857142864536,EMA_RSI_Scalping,M15,70,1.100000000000545,-3.4999999999985043
