pair,dir,pnl,result,exit_type,confluence
EURGBP,BUY,-100.0,LOSS,SL,75.0
EURGBP,BUY,136.12794282159865,WIN,SL,100.0
EURJPY,SELL,-100.0,LOSS,SL,85.0
EURJPY,SELL,75.31518869232376,WIN,SL,85.0
EURJPY,BUY,180.36186386421488,WIN,SL,85.0
EURJPY,SELL,-101.5567705255654,LOSS,SL,85.0
EURJPY,SELL,-100.54120282030973,LOSS,SL,75.0
EURJPY,SELL,5.750622524996911,WIN,SL,55.0
EURJPY,SELL,7.641982524996096,WIN,SL,100.0
EURJPY,BUY,-99.66971684260656,LOSS,SL,75.0
EURJPY,SELL,263.8797173282443,WIN,SL,70.0
EURJPY,BUY,77.8633467221293,WIN,SL,90.0
EURJPY,SELL,-102.09045031468422,LOSS,SL,85.0
EURJPY,BUY,3.815080523755055,WIN,SL,100.0
EURJPY,BUY,84.51785064141382,WIN,SL,85.0
EURJPY,BUY,-101.95287512318906,LOSS,SL,85.0
EURJPY,SELL,7.619838030975113,WIN,SL,85.0
EURJPY,SELL,3.8697628953462972,WIN,SL,85.0
EURJPY,BUY,110.51722081319748,WIN,SL,85.0
EURJPY,BUY,224.73751209657678,WIN,TP,65.0
EURJPY,BUY,-104.40078971031815,LOSS,SL,85.0
EURJPY,BUY,-103.35678181321495,LOSS,SL,50.0
EURJPY,SELL,-102.32321399508281,LOSS,SL,85.0
EURJPY,SELL,86.66182642818326,WIN,SL,85.0
EURJPY,SELL,-102.1666001194138,LOSS,SL,75.0
EURJPY,SELL,-101.14493411821967,LOSS,SL,85.0
EURJPY,BUY,-100.13348477703747,LOSS,SL,85.0
EURJPY,SELL,-99.13214992926709,LOSS,SL,80.0
EURJPY,SELL,3.450555902274361,WIN,SL,95.0
EURJPY,BUY,-98.17533398899717,LOSS,SL,80.0
EURJPY,SELL,-97.1935806491072,LOSS,SL,65.0
EURJPY,SELL,-96.22164484261613,LOSS,SL,75.0
EURJPY,BUY,-95.25942839418997,LOSS,SL,80.0
EURJPY,SELL,207.47503504254195,WIN,TP,75.0
EURJPY,SELL,84.77205585343346,WIN,SL,85.0
EURJPY,BUY,-97.22930501920779,LOSS,SL,75.0
EURJPY,SELL,-96.25701196901574,LOSS,SL,65.0
EURJPY,SELL,-95.29444184932558,LOSS,SL,60.0
EURJPY,BUY,-94.34149743083232,LOSS,SL,85.0
EURJPY,SELL,78.01932003125151,WIN,SL,80.0
EURJPY,SELL,207.1922064450457,WIN,TP,65.0
EURJPY,BUY,4.496921707635565,WIN,SL,85.0
EURJPY,BUY,3.813327770453318,WIN,SL,55.0
EURJPY,BUY,211.93326047535666,WIN,TP,75.0
EURJPY,BUY,-98.45263282082142,LOSS,SL,75.0
EURJPY,SELL,3.9964033361737923,WIN,SL,85.0
EURJPY,BUY,117.49994735165095,WIN,SL,85.0
EURJPY,SELL,127.63616517064784,WIN,SL,85.0
EURJPY,BUY,-99.95943165119795,LOSS,SL,85.0
EURJPY,BUY,-98.95983733468597,LOSS,SL,85.0
EURJPY,SELL,5.977676578668705,WIN,SL,70.0
EURJPY,SELL,-98.0300157271258,LOSS,SL,85.0
EURJPY,BUY,-97.04971556985456,LOSS,SL,55.0
EURJPY,SELL,-96.079218414156,LOSS,SL,80.0
EURJPY,BUY,-95.11842623001445,LOSS,SL,85.0
EURJPY,SELL,-94.1672419677143,LOSS,SL,85.0
EURJPY,SELL,-93.22556954803717,LOSS,SL,85.0
EURJPY,BUY,-92.29331385255679,LOSS,SL,75.0
EURJPY,SELL,141.9360248522956,WIN,SL,55.0
EURJPY,SELL,-92.78974096255416,LOSS,SL,65.0
EURJPY,SELL,-91.86184355292862,LOSS,SL,85.0
EURJPY,SELL,-90.94322511739935,LOSS,SL,85.0
EURJPY,BUY,90.99970369132483,WIN,SL,85.0
EURJPY,BUY,-90.94378990313861,LOSS,SL,85.0
EURJPY,SELL,-90.03435200410722,LOSS,SL,75.0
EURJPY,SELL,-89.13400848406614,LOSS,SL,75.0
EURJPY,BUY,104.82880319601934,WIN,SL,90.0
EURJPY,SELL,-89.29095643118568,LOSS,SL,85.0
EURJPY,BUY,4.758678585777061,WIN,SL,65.0
EURJPY,BUY,91.33788882943409,WIN,SL,85.0
EURJPY,SELL,-89.35901254102593,LOSS,SL,85.0
EURJPY,SELL,66.00466443335348,WIN,SL,45.0
EURJPY,BUY,-89.12546905994921,LOSS,SL,65.0
EURJPY,SELL,72.58368239720954,WIN,SL,50.0
EURJPY,SELL,5.677196972956677,WIN,SL,60.0
EURJPY,BUY,-89.01682316305138,LOSS,SL,85.0
EURJPY,SELL,3.8376608165670385,WIN,SL,75.0
EURJPY,SELL,-88.16503153958655,LOSS,SL,60.0
EURJPY,BUY,-87.28338122419068,LOSS,SL,75.0
EURJPY,SELL,-86.41054741194876,LOSS,SL,65.0
EURJPY,BUY,-85.54644193782927,LOSS,SL,65.0
EURJPY,SELL,-84.69097751845096,LOSS,SL,65.0
EURJPY,BUY,-83.84406774326648,LOSS,SL,85.0
EURJPY,SELL,3.3764097682359577,WIN,SL,75.0
EURJPY,BUY,-83.03939116351616,LOSS,SL,85.0
EURJPY,BUY,-82.20899725188099,LOSS,SL,75.0
