id,pair,direction,entry_price,exit_price,stop_loss,take_profit,position_size,entry_time,exit_time,status,pnl,pnl_pips,strategy,timeframe,confidence,mfe,mae
1,EURUSD,SELL,1.15723,1.158104,1.158104,1.156169,1.29,2025-11-26 21:45:00,2025-11-27 00:15:00,CLOSED_SL,-112.74600000000534,-8.740000000000414,ImprovedScalping,M15,60.0,1.1999999999989797,-7.200000000000539
2,EURUSD,SELL,1.15678,1.155485,1.1578099999999998,1.155485,1.06,2025-11-27 00:30:00,2025-11-27 00:45:00,CLOSED_TP,137.26999999998134,12.94999999999824,ImprovedScalping,M15,60.0,16.599999999999948,0.0
3,EURUSD,SELL,1.15539,1.1565459999999999,1.1565459999999999,1.1539059999999999,0.95,2025-11-27 01:00:00,2025-11-27 01:30:00,CLOSED_SL,-109.81999999999381,-11.559999999999349,ImprovedScalping,M15,60.0,0.0,-21.999999999999797
4,USDJPY,SELL,156.43037,156.36706757142858,156.4892382857143,156.36706757142858,2.03,2025-11-27 09:00:00,2025-11-27 10:00:00,CLOSED_TP,128.50393000000847,6.330242857143276,ImprovedScalping,M15,60.0,8.307000000002063,-2.0389999999991915
5,USDJPY,SELL,156.06507000000002,155.87507000000002,156.17507,155.87507000000002,1.0,2025-11-27 15:00:00,2025-11-27 16:15:00,CLOSED_TP,189.99999999999773,18.999999999999773,ImprovedScalping,M15,75.0,20.527000000001294,0.0
6,EURUSD,SELL,1.15808,1.158712857142857,1.158712857142857,1.1571142857142858,1.92,2025-11-27 22:15:00,2025-11-27 23:15:00,CLOSED_SL,-121.50857142856353,-6.328571428571017,ImprovedScalping,M15,75.0,0.0,-5.9000000000009045
7,EURUSD,SELL,1.15823,1.1587314285714287,1.1587314285714287,1.157527142857143,2.52,2025-11-27 23:45:00,2025-11-28 00:00:00,CLOSED_SL,-126.36000000002045,-5.014285714286526,ImprovedScalping,M15,75.0,0.0,-5.1000000000001044
8,USDJPY,BUY,156.33105999999998,156.27522285714284,156.27522285714284,156.4127342857143,2.18,2025-11-28 04:00:00,2025-11-28 07:30:00,CLOSED_SL,-121.72497142857254,-5.583714285714336,ImprovedScalping,M15,75.0,3.9770000000032724,-2.4809999999973797
9,USDJPY,SELL,156.21665000000002,156.31224428571429,156.31224428571429,156.05546142857145,1.15,2025-11-28 15:00:00,2025-11-28 16:15:00,CLOSED_SL,-109.93342857141073,-9.55942857142702,ImprovedScalping,M15,75.0,0.40700000000128966,-12.526999999997201
10,EURUSD,SELL,1.15848,1.1589642857142857,1.1589642857142857,1.1578114285714285,2.54,2025-11-28 16:15:00,2025-11-28 17:15:00,CLOSED_SL,-123.00857142857157,-4.842857142857149,ImprovedScalping,M15,75.0,0.0,-4.500000000000615
11,EURUSD,SELL,1.15848,1.15776,1.15899,1.15776,2.35,2025-11-28 17:15:00,2025-11-28 19:00:00,CLOSED_TP,169.20000000001266,7.200000000000539,ImprovedScalping,M15,75.0,6.999999999999229,-1.7000000000000348
12,USDJPY,SELL,156.27555,156.17320557142858,156.3604462857143,156.17320557142858,1.31,2025-11-28 21:45:00,2025-11-28 22:45:00,CLOSED_TP,134.07120142857025,10.234442857142767,ImprovedScalping,M15,60.0,10.12100000000089,-1.5019999999992706
13,USDJPY,SELL,156.14882,156.25882,156.25882,155.95882,0.99,2025-11-29 03:30:00,2025-11-29 04:00:00,CLOSED_SL,-108.89999999998537,-10.999999999998522,ImprovedScalping,M15,75.0,0.0,-8.982000000000312
