id,pair,direction,entry_price,exit_price,stop_loss,take_profit,position_size,entry_time,exit_time,status,pnl,pnl_pips,strategy,timeframe,confidence,mfe,mae
1,AUDUSD,BUY,0.65051,0.6498857142857143,0.6498857142857143,0.6514585714285716,1.91,2025-11-26 20:30:00,2025-11-26 20:45:00,CLOSED_SL,-119.23857142857707,-6.242857142857439,ImprovedScalping,M15,75.0,0.0,-6.000000000000449
2,NZDUSD,BUY,0.56801,0.5674914285714286,0.5674914285714286,0.5689564285714286,2.36,2025-11-27 00:15:00,2025-11-27 00:30:00,CLOSED_SL,-122.38285714284291,-5.185714285713683,ImprovedTrend,M15,95.0,0.0,-9.000000000000119
3,AUDUSD,SELL,0.64894,0.6496725714285714,0.6496725714285714,0.6480911428571429,1.54,2025-11-27 00:45:00,2025-11-27 01:30:00,CLOSED_SL,-112.81599999999804,-7.325714285714158,ImprovedScalping,M15,60.0,0.0,-7.900000000000684
4,NZDUSD,SELL,0.56697,0.567682857142857,0.567682857142857,0.5661507142857143,1.59,2025-11-27 00:45:00,2025-11-27 01:30:00,CLOSED_SL,-113.34428571427425,-7.128571428570707,ImprovedScalping,M15,60.0,1.0999999999994348,-6.599999999999939
5,USDCHF,SELL,0.8041200000000001,0.8044735714285715,0.8044735714285715,0.8037128571428572,3.76,2025-11-27 08:45:00,2025-11-27 09:00:00,CLOSED_SL,-132.94285714284547,-3.5357142857139756,ImprovedScalping,M15,75.0,0.0,-1.9999999999997797
6,USDJPY,SELL,156.43037,156.36706757142858,156.4892382857143,156.36706757142858,1.92,2025-11-27 09:00:00,2025-11-27 10:00:00,CLOSED_TP,121.54066285715089,6.330242857143276,ImprovedScalping,M15,60.0,8.307000000002063,-2.0389999999991915
7,USDCHF,SELL,0.80422,0.8037171428571429,0.8046214285714286,0.8037171428571429,3.12,2025-11-27 09:00:00,2025-11-27 10:45:00,CLOSED_TP,156.89142857142713,5.028571428571382,ImprovedScalping,M15,75.0,6.500000000000394,-1.3999999999991797
8,USDJPY,SELL,156.06507000000002,155.87507000000002,156.17507,155.87507000000002,0.97,2025-11-27 15:00:00,2025-11-27 16:15:00,CLOSED_TP,184.2999999999978,18.999999999999773,ImprovedScalping,M15,75.0,20.527000000001294,0.0
9,AUDUSD,SELL,0.65238,0.6529102857142857,0.6529102857142857,0.6518345714285714,2.29,2025-11-27 20:45:00,2025-11-27 23:00:00,CLOSED_SL,-121.43542857142654,-5.302857142857054,ImprovedScalping,M15,60.0,0.0,-5.1000000000001044
10,NZDUSD,SELL,0.57135,0.5719231428571429,0.5719231428571429,0.5707402857142857,2.08,2025-11-27 21:15:00,2025-11-28 00:45:00,CLOSED_SL,-119.21371428570815,-5.731428571428276,ImprovedScalping,M15,60.0,3.3000000000005247,-5.699999999999594
12,USDJPY,BUY,156.33105999999998,156.27522285714284,156.27522285714284,156.4127342857143,2.1,2025-11-28 04:00:00,2025-11-28 07:30:00,CLOSED_SL,-117.25800000000106,-5.583714285714336,ImprovedScalping,M15,75.0,3.9770000000032724,-2.4809999999973797
11,USDCHF,SELL,0.80516,0.8045772857142857,0.8057151428571429,0.8045772857142857,2.11,2025-11-28 03:00:00,2025-11-28 10:00:00,CLOSED_TP,122.95271428572262,5.827142857143253,ImprovedScalping,M15,60.0,7.500000000000284,-0.20000000000020002
13,USDJPY,SELL,156.21665000000002,156.31224428571429,156.31224428571429,156.05546142857145,1.12,2025-11-28 15:00:00,2025-11-28 16:15:00,CLOSED_SL,-107.06559999998264,-9.55942857142702,ImprovedScalping,M15,75.0,0.40700000000128966,-12.526999999997201
15,USDJPY,SELL,156.27555,156.17320557142858,156.3604462857143,156.17320557142858,1.27,2025-11-28 21:45:00,2025-11-28 22:45:00,CLOSED_TP,129.97742428571314,10.234442857142767,ImprovedScalping,M15,60.0,10.12100000000089,-1.5019999999992706
14,AUDUSD,SELL,0.65227,0.6526721428571429,0.6526721428571429,0.6517657142857143,3.15,2025-11-28 21:15:00,2025-11-28 23:30:00,CLOSED_SL,-126.67500000001553,-4.021428571429064,ImprovedScalping,M15,75.0,0.6000000000006,-4.8000000000003595
16,USDCHF,SELL,0.80466,0.8036528571428572,0.8053135714285714,0.8036528571428572,1.72,2025-11-29 02:30:00,2025-11-29 02:45:00,CLOSED_TP,173.22857142857416,10.071428571428731,ImprovedScalping,M15,75.0,14.899999999999913,0.0
17,USDJPY,SELL,156.14882,156.25882,156.25882,155.95882,0.97,2025-11-29 03:30:00,2025-11-29 04:00:00,CLOSED_SL,-106.69999999998566,-10.999999999998522,ImprovedScalping,M15,75.0,0.0,-8.982000000000312
18,USDCHF,SELL,0.80366,0.8044192857142858,0.8044192857142858,0.8024414285714286,1.45,2025-11-29 04:15:00,2025-12-01 09:00:00,CLOSED_SL,-110.09642857143231,-7.592857142857401,ImprovedScalping,M15,75.0,4.700000000000815,-6.399999999999739
19,USDJPY,SELL,156.14215000000002,155.95215000000002,156.25215,155.95215000000002,0.96,2025-11-29 04:30:00,2025-12-01 10:45:00,CLOSED_TP,182.39999999999782,18.999999999999773,ImprovedScalping,M15,75.0,20.899000000002843,-4.94899999999916
20,USDCHF,SELL,0.80353,0.8030357142857142,0.8039271428571428,0.8030357142857142,3.19,2025-12-01 10:15:00,2025-12-01 12:00:00,CLOSED_TP,157.67714285716394,4.942857142857804,ImprovedScalping,M15,75.0,9.199999999999209,-1.60000000000049
22,NZDUSD,SELL,0.57308,0.5737602857142857,0.5737602857142857,0.5723095714285714,1.67,2025-12-01 11:45:00,2025-12-01 12:00:00,CLOSED_SL,-113.60771428571002,-6.8028571428568885,ImprovedScalping,M15,60.0,0.0,-7.899999999999574
21,AUDUSD,SELL,0.6544,0.6550802857142857,0.6550802857142857,0.6536295714285714,1.67,2025-12-01 11:15:00,2025-12-01 12:15:00,CLOSED_SL,-113.60771428571002,-6.8028571428568885,ImprovedScalping,M15,60.0,2.5999999999992696,-9.500000000000064
23,USDCHF,SELL,0.8025100000000001,0.8030085714285715,0.8030085714285715,0.8016135714285715,2.44,2025-12-01 12:00:00,2025-12-01 12:30:00,CLOSED_SL,-121.65142857143607,-4.985714285714593,ImprovedTrend,M15,95.0,0.0,-8.699999999999264
24,NZDUSD,BUY,0.57428,0.573635,0.573635,0.5755425000000001,1.76,2025-12-01 12:15:00,2025-12-01 13:00:00,CLOSED_SL,-113.52000000000118,-6.450000000000067,ImprovedTrend,M15,95.0,0.0,-9.000000000000119
26,AUDUSD,BUY,0.65491,0.654255,0.654255,0.6559200000000001,1.69,2025-12-01 13:30:00,2025-12-01 13:45:00,CLOSED_SL,-110.69499999999344,-6.549999999999612,ImprovedScalping,M15,75.0,0.0,-5.1000000000001044
25,USDJPY,SELL,155.59238000000002,155.70238,155.70238,155.35238,0.95,2025-12-01 12:45:00,2025-12-01 17:00:00,CLOSED_SL,-104.49999999998596,-10.999999999998522,ImprovedTrend,M15,95.0,14.36400000000333,-8.699999999998909
28,AUDUSD,SELL,0.654,0.6545088571428572,0.6545088571428572,0.6534867142857143,2.24,2025-12-01 18:00:00,2025-12-01 18:15:00,CLOSED_SL,-113.98400000001276,-5.088571428571997,ImprovedScalping,M15,60.0,0.0,-7.800000000000029
27,NZDUSD,SELL,0.57301,0.5736594285714286,0.5736594285714286,0.5722858571428572,1.68,2025-12-01 16:00:00,2025-12-01 18:30:00,CLOSED_SL,-109.10400000000121,-6.494285714285786,ImprovedScalping,M15,60.0,3.4000000000000696,-6.300000000000194
29,USDJPY,SELL,155.40264000000002,155.5044557142857,155.5044557142857,155.18310071428573,0.98,2025-12-01 18:15:00,2025-12-01 19:30:00,CLOSED_SL,-99.7793999999783,-10.181571428569214,ImprovedTrend,M15,95.0,7.512000000002672,-14.92799999999761
30,USDCHF,SELL,0.80274,0.80325,0.80325,0.8018149999999999,2.18,2025-12-01 19:15:00,2025-12-01 19:30:00,CLOSED_SL,-111.18000000000228,-5.1000000000001044,ImprovedTrend,M15,95.0,0.0,-7.300000000000084
32,USDJPY,SELL,155.3898,155.1498,155.4998,155.1498,0.87,2025-12-01 20:15:00,2025-12-01 22:30:00,CLOSED_TP,208.8000000000079,24.00000000000091,ImprovedTrend,M15,95.0,24.00000000000091,0.0
31,USDCHF,SELL,0.80337,0.8023467857142856,0.8039192857142857,0.8023467857142856,1.94,2025-12-01 19:30:00,2025-12-01 23:00:00,CLOSED_TP,198.5035714285919,10.232142857143911,ImprovedTrend,M15,95.0,8.099999999999774,0.0
35,USDCHF,SELL,0.8024600000000001,0.8015153571428572,0.8029778571428572,0.8015153571428572,2.18,2025-12-01 23:00:00,2025-12-01 23:30:00,CLOSED_TP,205.9321428571539,9.446428571429077,ImprovedTrend,M15,95.0,10.000000000001119,0.0
33,NZDUSD,BUY,0.57365,0.5743028571428571,0.5731735714285714,0.5743028571428571,2.31,2025-12-01 22:15:00,2025-12-01 23:45:00,CLOSED_TP,150.8099999999951,6.528571428571217,ImprovedScalping,M15,75.0,11.499999999999844,-1.9999999999997797
34,USDJPY,SELL,155.1398,154.8998,155.2498,154.8998,0.89,2025-12-01 22:30:00,2025-12-01 23:45:00,CLOSED_TP,213.6000000000081,24.00000000000091,ImprovedTrend,M15,95.0,35.44200000000046,0.0
