id,pair,direction,entry_price,exit_price,stop_loss,take_profit,position_size,entry_time,exit_time,status,pnl,pnl_pips,strategy,timeframe,confidence,mfe,mae
1,NZDUSD,BUY,0.56801,0.5674077142857143,0.5674077142857143,0.5689145714285714,1.99,2025-11-27 00:15:00,2025-11-27 00:30:00,CLOSED_SL,-119.8548571428476,-6.0228571428566635,ImprovedTrend,M15,100.0,0.0,-9.000000000000119
2,NZDUSD,BUY,0.56735,0.5685031428571429,0.5666234285714286,0.5685031428571429,1.58,2025-11-27 01:15:00,2025-11-27 02:00:00,CLOSED_TP,182.1965714285707,11.531428571428526,ImprovedTrend,M15,100.0,11.999999999999789,0.0
3,NZDUSD,BUY,0.57036,0.569954,0.569954,0.5708719999999999,3.29,2025-11-27 09:15:00,2025-11-27 09:30:00,CLOSED_SL,-133.57400000000575,-4.060000000000175,ImprovedTrend,M15,100.0,0.0,-2.9000000000001247
4,AUDUSD,BUY,0.65256,0.6530720000000001,0.652154,0.6530720000000001,3.24,2025-11-27 11:00:00,2025-11-27 12:45:00,CLOSED_TP,165.88800000002203,5.12000000000068,ImprovedTrend,M15,100.0,4.799999999999249,-1.9000000000002348
5,AUDUSD,BUY,0.65359,0.6530940000000001,0.6530940000000001,0.654282,2.55,2025-11-27 15:45:00,2025-11-27 17:15:00,CLOSED_SL,-126.47999999998493,-4.959999999999409,ImprovedTrend,M15,90.0,2.100000000000435,-8.500000000000174
6,NZDUSD,BUY,0.57252,0.5720121428571429,0.5720121428571429,0.573154142857143,2.44,2025-11-27 18:45:00,2025-11-27 19:00:00,CLOSED_SL,-123.91714285714971,-5.07857142857171,ImprovedScalping,M15,70.0,0.0,-5.3000000000003045
8,NZDUSD,BUY,0.57178,0.5713234285714286,0.5713234285714286,0.5723931428571428,2.76,2025-11-27 23:00:00,2025-11-28 00:00:00,CLOSED_SL,-126.01371428569584,-4.565714285713618,ImprovedTrend,M15,100.0,0.0,-3.1999999999998696
9,USDJPY,BUY,156.33105999999998,156.27522285714284,156.27522285714284,156.40356685714286,2.12,2025-11-28 04:00:00,2025-11-28 07:30:00,CLOSED_SL,-118.37474285714393,-5.583714285714336,ImprovedScalping,M15,70.0,3.9770000000032724,-2.4809999999973797
10,NZDUSD,BUY,0.57245,0.5725981428571428,0.572212142857143,0.5725981428571428,6.96,2025-11-28 08:00:00,2025-11-28 08:15:00,CLOSED_TP,103.10742857140198,1.4814285714281894,ImprovedScalping,M15,70.0,1.2000000000000899,0.0
11,NZDUSD,BUY,0.57274,0.572454,0.572454,0.573012,5.22,2025-11-28 08:30:00,2025-11-28 09:00:00,CLOSED_SL,-149.2920000000044,-2.8600000000000847,ImprovedTrend,M15,90.0,0.9999999999998899,-6.599999999999939
7,AUDUSD,BUY,0.65283,0.6535031428571428,0.6523434285714286,0.6535031428571428,2.55,2025-11-27 22:30:00,2025-11-28 10:00:00,CLOSED_TP,171.65142857141825,6.731428571428166,ImprovedTrend,M15,100.0,7.699999999999374,-2.60000000000038
12,AUDUSD,BUY,0.65406,0.653588,0.653588,0.654704,2.61,2025-11-28 14:15:00,2025-11-28 14:45:00,CLOSED_SL,-123.19200000000728,-4.7200000000002795,ImprovedTrend,M15,90.0,0.0,-5.899999999999794
13,EURUSD,BUY,1.16154,1.160869142857143,1.160869142857143,1.1625817142857144,1.68,2025-12-01 12:00:00,2025-12-01 12:30:00,CLOSED_SL,-112.70399999999015,-6.708571428570842,ImprovedTrend,M15,100.0,0.0,-8.399999999999519
14,NZDUSD,BUY,0.57428,0.573526,0.573526,0.5754880000000001,1.47,2025-12-01 12:15:00,2025-12-01 13:00:00,CLOSED_SL,-110.83800000000477,-7.540000000000324,ImprovedTrend,M15,100.0,0.0,-9.000000000000119
15,EURUSD,BUY,1.16102,1.1619622857142857,1.1603988571428572,1.1619622857142857,1.8,2025-12-01 18:15:00,2025-12-01 19:15:00,CLOSED_TP,169.6114285714412,9.422857142857843,ImprovedTrend,M15,100.0,9.099999999999664,-0.8999999999992347
16,USDJPY,SELL,155.34381000000002,155.47006685714288,155.47006685714288,155.1212962857143,0.81,2025-12-01 18:45:00,2025-12-01 19:30:00,CLOSED_SL,-102.26805428571907,-12.625685714286305,ImprovedTrend,M15,100.0,1.629000000002634,-20.810999999997648
19,USDCHF,SELL,0.80255,0.801522,0.803214,0.801522,1.67,2025-12-01 22:30:00,2025-12-01 23:30:00,CLOSED_TP,171.67600000000482,10.280000000000289,ImprovedTrend,M15,100.0,10.900000000000354,-0.700000000000145
17,NZDUSD,BUY,0.57365,0.5742275714285714,0.5731735714285714,0.5742275714285714,2.51,2025-12-01 22:15:00,2025-12-01 23:45:00,CLOSED_TP,144.97042857142128,5.775714285713995,ImprovedScalping,M15,70.0,11.499999999999844,-1.9999999999997797
18,AUDUSD,BUY,0.65516,0.6560937142857143,0.6545431428571428,0.6560937142857143,1.83,2025-12-01 22:15:00,2025-12-01 23:45:00,CLOSED_TP,170.86971428571974,9.337142857143155,ImprovedTrend,M15,100.0,11.600000000000499,-0.7999999999996898
20,NZDUSD,SELL,0.5723900000000001,0.5727378571428572,0.5727378571428572,0.5720438571428572,4.01,2025-12-02 15:45:00,2025-12-02 16:15:00,CLOSED_SL,-139.4907142857059,-3.47857142857122,ImprovedScalping,M15,70.0,0.0,-2.8999999999990145
21,USDJPY,BUY,156.04475,155.93475,155.93475,156.21475,0.98,2025-12-03 04:15:00,2025-12-03 04:45:00,CLOSED_SL,-107.79999999998552,-10.999999999998522,ImprovedScalping,M15,70.0,0.0,-8.598999999998114
22,USDJPY,BUY,156.00289999999998,155.89870357142857,155.89870357142857,156.16245357142856,1.03,2025-12-03 05:45:00,2025-12-03 06:45:00,CLOSED_SL,-107.32232142855537,-10.419642857141298,ImprovedScalping,M15,70.0,0.0,-13.437999999999306
24,AUDUSD,BUY,0.65665,0.6561325714285714,0.6561325714285714,0.6573848571428571,2.29,2025-12-03 06:45:00,2025-12-03 09:00:00,CLOSED_SL,-118.49114285713968,-5.174285714285576,ImprovedTrend,M15,100.0,0.0,-2.8999999999990145
23,NZDUSD,BUY,0.57327,0.57376,0.5727242857142857,0.5739722857142857,2.17,2025-12-03 06:00:00,2025-12-03 09:45:00,CLOSED_TIME,106.33000000002201,4.900000000001015,ImprovedScalping,M15,70.0,5.7000000000007045,-1.8999999999991246
25,AUDUSD,BUY,0.65679,0.65669,0.6564268571428571,0.6572162857142857,3.6,2025-12-03 09:45:00,2025-12-03 09:45:00,CLOSED_TIME,-35.999999999996035,-0.9999999999998899,ImprovedTrend,M15,100.0,0.0,0.0
