id,pair,direction,entry_price,exit_price,stop_loss,take_profit,position_size,entry_time,exit_time,status,pnl,pnl_pips,strategy,timeframe,confidence,mfe,mae
1,USDJPY,BUY,156.33105999999998,156.27522285714284,156.27522285714284,156.40356685714286,2.18,2025-11-28 04:00:00,2025-11-28 07:30:00,CLOSED_SL,-121.72497142857254,-5.583714285714336,ImprovedScalping,M15,70.0,3.9770000000032724,-2.4809999999973797
2,EURUSD,BUY,1.16154,1.160869142857143,1.160869142857143,1.1625817142857144,1.73,2025-12-01 12:00:00,2025-12-01 12:30:00,CLOSED_SL,-116.05828571427557,-6.708571428570842,ImprovedTrend,M15,100.0,0.0,-8.399999999999519
3,EURUSD,BUY,1.16102,1.1619622857142857,1.1603988571428572,1.1619622857142857,1.87,2025-12-01 18:15:00,2025-12-01 19:15:00,CLOSED_TP,176.20742857144168,9.422857142857843,ImprovedTrend,M15,100.0,9.099999999999664,-0.8999999999992347
4,USDJPY,SELL,155.34381000000002,155.47006685714288,155.47006685714288,155.1212962857143,0.84,2025-12-01 18:45:00,2025-12-01 19:30:00,CLOSED_SL,-106.05576000000497,-12.625685714286305,ImprovedTrend,M15,100.0,1.629000000002634,-20.810999999997648
5,USDJPY,BUY,156.04475,155.93475,155.93475,156.21475,0.98,2025-12-03 04:15:00,2025-12-03 04:45:00,CLOSED_SL,-107.79999999998552,-10.999999999998522,ImprovedScalping,M15,70.0,0.0,-8.598999999998114
6,USDJPY,BUY,156.00289999999998,155.89870357142857,155.89870357142857,156.16245357142856,1.03,2025-12-03 05:45:00,2025-12-03 06:45:00,CLOSED_SL,-107.32232142855537,-10.419642857141298,ImprovedScalping,M15,70.0,0.0,-13.437999999999306
